,OBS_VALUE
0,5828.20208707917
1,5238.87768803904
2,4687.38281542961
3,6296.93842853605
4,7520.54990260888
5,24223.3550582259
6,20840.7444461343
7,24420.6486218653
8,69644.5516196711
9,82486.6104254054
10,73482.0397408667
11,67990.5163853161
12,13.3892092137235
13,7.46662749328792
14,42.65802668015
15,307.831071751259
16,1640.94723656668
17,1767.77834350613
18,2044.45267071623
19,2399.64829009462
20,4287.84395980126
21,6534.59065304961
22,13361.9432726046
23,10872.2211375617
24,9755.07249370563
25,12176.4236628279
26,14059.9635609307
27,16628.360207101
28,32168.7542846307
29,31399.874646805
30,137.965717840685
31,157.342926849651
32,175.187732879805
33,184.037985439181
34,213.563117989576
35,237.852254681934
36,653.356121300589
37,829.382749881474
38,348111.785168261
39,386633.940938882
40,199003.830763245
41,155534.202969054
42,145119.106136762
43,137656.330412099
44,15417.6698409096
45,14940.3952166803
46,12210.7721964731
47,18855.7029933301
48,23638.4284566701
49,28381.2818129803
50,26011.7455179418
51,20545.8403622834
52,27869.1005437105
53,41092.6103426322
54,63.9548883620691
55,87.8019966074345
56,149.412801363902
57,105.240808513907
58,80.9646497465855
59,308.293919795976
60,636.180656454169
61,820.981950069197
62,731.717230949312
63,1163.82871786117
64,1839.77097304414
65,3584.41031158098
66,5532.17359531786
67,4066.11070910254
68,2426.84812318145
69,2977.53784194734
70,4693.91186810331
71,6359.70363145031
72,6776.86363901569
73,4216.84338089169
74,6699.45118677379
75,11867.5977441262
76,12969.9059294372
77,19808.8587476642
78,3434.17713953501
79,5624.91839173974
80,6746.44335939147
81,1170.05282497174
82,981.554466173935
83,395.978048085878
84,160.001032705459
85,64.5439965049534
86,1456.43082102703
87,1513.66885442144
88,1680.40609164124
89,4917.51141781404
90,12899.0657965412
91,21923.3039810498
92,20868.9558293636
93,26558.2591460566
94,43761.2972761833
95,58812.0591699663
96,70203.2209606018
97,87121.7793407176
98,62.5180163116235
99,426.308815207042
100,309.284843576555
101,221.2705867893
102,103.362776242675
103,80.7799805378778
104,902.841137566112
105,5018.09402577832
106,7958.38736101975
107,12477.351010892
108,15244.317572475
109,14462.2554930459
110,21291.8021340645
111,30581.2736461558
112,31209.1777353397
113,25125.2050717135
114,20808.0400419795
115,29914.0473126539
116,32160.629206639
117,39250.398425956
118,58362.1732973647
119,73569.1672172768
120,13620.1808859351
121,19972.6747222294
122,20052.8295806179
123,14425.6726211235
124,26189.8473330401
125,23782.3481273596
126,23597.8523765551
127,28841.5212205955
128,35183.3342358623
129,39679.8754623301
130,39344.2305101036
131,47271.0903751396
132,70880.030869671
133,102457.488575281
134,131281.517506846
135,162859.430922389
136,201798.334154947
137,254859.03155813
138,290998.362199974
139,174.545494692781
140,1133.692070973
141,1323.26469161822
142,1607.3390219384
143,1967.61789584405
144,1762.44320707805
145,6370.75176274672
146,8825.289122984
147,17385.7782309417
148,15655.5752819768
149,16217.0840817155
150,18034.1847306644
151,18861.3222513287
152,23406.3026595389
153,32302.4666050878
154,34832.9386828856
155,39359.4350451574
156,41939.6892964046
157,159.018373082942
158,133.549851694522
159,201.381784869074
160,459.228161558989
161,5893.41330357347
162,7233.76899284019
163,14393.3392424221
164,27847.6576410466
165,27373.5615193422
166,37238.623996846
167,38543.9185213343
168,68457.0576127417
169,59130.1736276005
170,110259.718261869
171,171832.808282477
172,342866.871615806
173,267194.151891391
174,211602.656749999
175,194923.977582729
176,194938.432598315
177,426.216392940086
178,297.317469791158
