"STRUCTURE","STRUCTURE_ID","ACTION","FREQ","REF_AREA","INDICATOR","SEX","AGE","URBANISATION","UNIT_MEASURE","COMP_BREAKDOWN_1","COMP_BREAKDOWN_2","COMP_BREAKDOWN_3","TIME_PERIOD","OBS_VALUE","AGG_METHOD","UNIT_TYPE","DECIMALS","DATABASE_ID","TIME_FORMAT","UNIT_MULT","OBS_STATUS","OBS_CONF","FREQ_LABEL","REF_AREA_LABEL","INDICATOR_LABEL","SEX_LABEL","AGE_LABEL","URBANISATION_LABEL","UNIT_MEASURE_LABEL","COMP_BREAKDOWN_1_LABEL","COMP_BREAKDOWN_2_LABEL","COMP_BREAKDOWN_3_LABEL","AGG_METHOD_LABEL","UNIT_TYPE_LABEL","DECIMALS_LABEL","DATABASE_ID_LABEL","TIME_FORMAT_LABEL","UNIT_MULT_LABEL","OBS_STATUS_LABEL","OBS_CONF_LABEL"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","AFG","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Afghanistan","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","AGO","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Angola","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","ALB","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Albania","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","AND","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Andorra","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","ARE","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","United Arab Emirates","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","ARG","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Argentina","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","ARM","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Armenia","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","ATG","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Antigua and Barbuda","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","AUS","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Australia","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","AUT","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Austria","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","AZE","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Azerbaijan","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","BDI","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Burundi","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","BEL","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Belgium","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","BEN","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Benin","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","BFA","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Burkina Faso","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","BGD","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Bangladesh","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","BGR","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Bulgaria","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","BHR","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Bahrain","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","BHS","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Bahamas, The","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","BIH","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Bosnia and Herzegovina","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","BLR","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Belarus","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","BLZ","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Belize","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","BOL","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Bolivia","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","BRA","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Brazil","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","BRB","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Barbados","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","BRN","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Brunei Darussalam","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","BTN","ID_DIG_RECS","_Z","_Z","_Z","CAT","_Z","_Z","_Z","2024","","_Z","NUMBER","0","WB_ID4D","602","0","O","PU","Annual","Bhutan","Digital data use","Not applicable","Not applicable","Not applicable","Categorical","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Zero","Identification for Development (ID4D) Global Dataset","CCYY","Units","Missing value","Public"
